id;en-US;de-DE;es-ES;fr-FR
fin_pf_viewColumn_after_mkt_price_and_time;Last Trd Time & Price (Aft Mkt);Zeit / Kurs (nachbörsl.);Ultima transacción y precio (Post Mercado);Cours dernier (aprés Bourse)
fin_pf_viewColumn_after_mkt_change;After Mkt Chg;Nachbörsl. Veränd;Cambio post merc;Var. aprés Bourse
fin_pf_viewColumn_after_mkt_change_and_percent;After Mkt Chg & %;Nachbörsl. Veränd ;Cambio post merc y %;Var. et % (aprés Bourse)
fin_pf_viewColumn_after_mkt_percent_change;Aft Mkt % Chg;Nachbörsl. Veränd. (%);% cambio post merc;Var. % (aprés Bourse)
fin_pf_viewColumn_after_mkt_price;Last Trd (Aft Mkt);Letzter Trade (nachbörsl.);Última trans (post merc);Dernier échange (aprés Bourse)
fin_pf_viewColumn_after_mkt_time;Last Trd Time (Aft Mkt);Letzter Trade Zeit (nachbörsl.);Última hora de trans (post merc);Heure dernier (aprés Bourse)
fin_pf_viewColumn_annualized_gain;Annualized Gain;Gewinn (Jahresbasis);Beneficios anuales;Gain annualisé
fin_pf_viewColumn_ask_price;Ask;Briefkurs;Demandía;Vente
fin_pf_viewColumn_ask_size;Ask Size;Angebotsvolumen;Precio de la demandía;Volume offert
fin_pf_viewColumn_avg_daily_volume;Avg Vol;Ø Volumen;Vol medio;Vol. jour moyen
fin_pf_viewColumn_bid_price;Bid;Geldkurs;Oferta;Achat
fin_pf_viewColumn_bid_size;Bid Size;Nachfragevolumen;Tamaño de la oferta;Volume demandó
fin_pf_viewColumn_book_value;Book Val;Buchwert;Valor de balance;Val. comptable
fin_pf_viewColumn_change;Change;Veränderung;Cambio;Variation
fin_pf_viewColumn_change_and_percent;Chg & % Chg;Veränderung;Cambio;Var. et %
fin_pf_viewColumn_change_fiftytwo_week_high;Chg 52-Wk Low;Veränderung gegenüber 52W Hoch;Cambio del Máximo de 52 semanas;Var. + haut/an
fin_pf_viewColumn_change_fiftytwo_week_low;Chg 52-Wk High;Veränderung gegenüber 52W Tief;Cambio del mínimo en 52 semanas;Var. + bas/an
fin_pf_viewColumn_comment;Notes;Anmerkungen;Notas;Notes
fin_pf_viewColumn_commission;Commission;Kommission;Comisión;Commission
fin_pf_viewColumn_currency;Currency;Währung;Divisa;Devise
fin_pf_viewColumn_day_high;Day High;Tageshoch;Máximo del día;+ haut du jour
fin_pf_viewColumn_day_low;Day Low;Tagestief;mínimo del día;+ bas du jour
fin_pf_viewColumn_day_range;Day's Low & High;Tagesspanne;Máximo y mínimo del día;Plus hauts et plus bas du jour
fin_pf_viewColumn_day_value_change;Day's Val Chg;Tageswert Veränd;Cambio en valor del día;Var. jour
fin_pf_viewColumn_day_value_change_and_percent;Day's Val Chg & %;Tageswert Veränd ;Cambio en valor y % del día;Var. jour
fin_pf_viewColumn_day_value_percent_change;Day's Val % Chg;Tageswert Veränd. (%);Cambio en valor % del día;% Var val. du jour
fin_pf_viewColumn_dividend_pay_date;Ex-Div Date;Div Tag der Zahlung;Tasa de pago de dividendo;date dividende
fin_pf_viewColumn_dividend_per_share;Div/Share;Div/Aktie;Div/Acc;Div/act.
fin_pf_viewColumn_dividend_yield;Yield;Rendite;Rendim. dividendo;Rendement
fin_pf_viewColumn_ebitda;EBITDA;EBITDA;EBITDA;EBITDA
fin_pf_viewColumn_eps;EPS;EPS;Benef x acción;BPA
fin_pf_viewColumn_eps_est_current_year;EPS Est Curr Yr;EPS geschätzt (aktuelles Jahr);BPA Est (año actual);Estimation EPS Année en cours
fin_pf_viewColumn_eps_est_next_quarter;EPS Est Next Qtr;EPS geschätzt (nächstes Quartal);BPA Est (próximo trimestre);BPA estimé T+1
fin_pf_viewColumn_eps_est_next_year;EPS Est Next Yr;EPS geschätzt (nächstes Jahr);BPA Est (próximo año);BPA estimé année +1
fin_pf_viewColumn_ex_dividend_date;Ex-Div date;Ex-Div.-date;Fecha Ex-Dividendo;date ex-div.
fin_pf_viewColumn_exchange;Exchange;Börsenplatz;Cambio;Change
fin_pf_viewColumn_fifty_day_ma;50-day MA;50-Tage MA;50 días MA;MM50
fin_pf_viewColumn_fifty_day_ma_change;Chg from 50-day MA;Veränd. Von 50-Tage MA;Cambio de 50 días MA;Var. sur MM50
fin_pf_viewColumn_fifty_day_ma_percent_change;% Chg from 50-day MA;% Veränd. von 50-Tage MA;% cambio de 50 días MA;% var. sur MM50
fin_pf_viewColumn_fiftytwo_week_high;52-Wk High;52W Hoch;Máximo en 52 semanas;+ Haut/an
fin_pf_viewColumn_fiftytwo_week_low;52-Wk Low;52W Tief;mínimo en 52 semanas;+ Bas/an
fin_pf_viewColumn_fiftytwo_week_range;52-Wk Range;52W Spanne;Rango 52semanas;Sur 1 an
fin_pf_viewColumn_float_shares;Float Shares;Aktien im Umlauf;Acciones flotantes;Flottant
fin_pf_viewColumn_high_limit;High Limit;Limit (Hoch);Límite Máximo;Limite sup.
fin_pf_viewColumn_holdings_gain;Holdings Gain;Kursgewinn;Ganancias;Gain titres
fin_pf_viewColumn_holdings_gain_and_percent;Gain & % Gain;Kursgewinn und prozent. Gewinn;Beneficio;Gain et %
fin_pf_viewColumn_holdings_percent_gain;Holdings % Gain;Gewinn Holdings (%);Activos % Ganancia;Gain %
fin_pf_viewColumn_holdings_value;Mkt Value;Wert;Valor de mercado;Valeur
fin_pf_viewColumn_last_trade_size;Last Trd Size;Letzter Trade Volumen;Último volumen de trans;Volume d'échange
fin_pf_viewColumn_low_limit;Low Limit;Limit (Tief);Límite bajo;Limite Inf.
fin_pf_viewColumn_market_cap;Mkt Cap;Marktkap.;Capitalización;Cap. boursière
fin_pf_viewColumn_more_info;More Info;Mehr;Más información;Plus d´info
fin_pf_viewColumn_name;Name;Name;Nombre;Nom
fin_pf_viewColumn_one_year_target;1-Yr Trgt Price;1 J. Zielkurs;Precio objetivo 1 año;Objectif de cours 1 an
fin_pf_viewColumn_open;Open;Eröffnungskurs;Abierto;Ouverture
fin_pf_viewColumn_pe_ratio;P/E;KGV;Precio/Beneficio (P/E);PER
fin_pf_viewColumn_pe_ratio_next_year;P/E Next Yr;KGV Weiter 1 J.;Precio/Beneficio próximo año;PER Année +1
fin_pf_viewColumn_peg_ratio;PEG Ratio;PEG-Ratio;Ratio PEG (Price/Earnings To Growth);Ratio PEG
fin_pf_viewColumn_percent_change;% Chg;% Veränd.;% cambio;Var %
fin_pf_viewColumn_percent_change_fiftytwo_week_high;% Chg from 52-Wk Low;Proz. Veränderung gegenüber 52W Hoch.;Porcentaje de cambio del Máximo de 52 semanas;Var % + haut/an
fin_pf_viewColumn_percent_change_fiftytwo_week_low;% Chg from 52-Wk High;Proz. Veränderung gegenüber 52W Tief;Porcentaje de cambio del mínimo en 52 semanas;Var % + bas/an
fin_pf_viewColumn_pre_after_mkt_price_and_time;Last Trd Time & Price (Pre/Aft Mkt);Zeit / Kurs (vor-/nachbörsl.);Ultima transacción y precio (Pre/Post Mercado);Dernier (avant/aprés Bourse)
fin_pf_viewColumn_pre_mkt_change;Pre Mkt Chg;Vorbörsl. Veränderung;Cambio pre merc;Var. pré-Bourse
fin_pf_viewColumn_pre_mkt_change_and_percent;Pre Mkt Chg & %;Vorbörsl. Veränderung ;Cambio pre merc y %;Var et % avant Bourse
fin_pf_viewColumn_pre_mkt_percent_change;Pre Mkt % Chg;Vorbörsl. Veränd. (%);% cambio pre merc;Variation avant Bourse (%)
fin_pf_viewColumn_pre_mkt_price;Last Trd (Pre Mkt);Letzter Trade (vorbörsl.);Última trans (pre merc);Dernier échange (avant Bourse)
fin_pf_viewColumn_pre_mkt_price_and_time;Last Trd Time & Price (Pre Mkt);Zeit / Kurs (vorbörslich);Ultima transacción y precio (Pre mercado);Dernier (avant Bourse)
fin_pf_viewColumn_pre_mkt_time;Last Trd Time (Pre Mkt);Letzter Trade Zeit (vorbörsl.);Última hora de trans (pre merc);Heure Dernier échange (avant Bourse)
fin_pf_viewColumn_prev_close;Prev Close;Letzt. Schlußk;Cierre anterior;Clôture préc.
fin_pf_viewColumn_price;Price;Kurs;Precio;Cours
fin_pf_viewColumn_price_and_time;Time & Price;Zeit / Kurs;Hora y precio;Dernier
fin_pf_viewColumn_price_paid;Price Paid;Gezahlter Preis;Precio;Prix Payé
fin_pf_viewColumn_price_per_book;Price/Book;Kurs/Buch;Precio/Compra;Cours/Comptable
fin_pf_viewColumn_price_per_eps_est_current_year;Price/EPS Est Curr Yr;Kurs/EPS geschätzt (aktuelles Jahr);Estimado año actual de precio/BPA;Est Cours/BPA Année en cours
fin_pf_viewColumn_price_per_eps_est_next_year;Price/EPS Est Next Yr;Kurs/EPS Schätzung nächstes Jahr;Precio/BPA estimado próximo año;Cours/BPA estimé année +1
fin_pf_viewColumn_price_per_sales;Price/Sales;Kurs/Verkäufe;Precio/Ventas;Cours/Ventes
fin_pf_viewColumn_shares_out;Shares Out;Aktien im Umlauf;Acciones fuera;Répartitions
fin_pf_viewColumn_shares_owned;Shares;Gehaltene Aktien;Acciones;Titres
fin_pf_viewColumn_short_ratio;Short Ratio;Short-Ratio;Parcial corto;Ratio de VAD
fin_pf_viewColumn_sparkline;Chart;Chart;Grífico;Graphique
fin_pf_viewColumn_symbol;Symbol;Symbol;Símbolo;Symbole
fin_pf_viewColumn_time;Time;Letzte Trade Zeit;Última hora de trans;Heure Dernier échange
fin_pf_viewColumn_trade_date;Trd date;Trade-datum;Fecha de trans;date d'éch.
fin_pf_viewColumn_twohundred_day_ma;200-day MA;200-Tage MA;200 días MA;MM200
fin_pf_viewColumn_twohundred_day_ma_change;Chg from 200-day MA;Veränd. von 200-Tage MA;Cambio de 200 días MA;Var. sur MM200
fin_pf_viewColumn_twohundred_day_ma_percent_change;% Chg from 200-day MA;% Veränd. von 200-Tage MA;% cambio de 200 días MA;% var. sur MM200
fin_yf_sector_Basic_Materials;Basic Materials;;;
fin_yf_sector_Conglomerates;Conglomerates;;;
fin_yf_sector_Consumer_Goods;Consumer Goods;;;
fin_yf_sector_Financial;Financial;;;
fin_yf_sector_Healthcare;Healthcare;;;
fin_yf_sector_Industrial_Goods;Industrial Goods;;;
fin_yf_sector_Services;Services;;;
fin_yf_sector_Technology;Technology;;;
fin_yf_sector_Utilities;Utilities;;;
fin_yf_industry_Chemicals_Major_Diversified;Chemicals - Major Diversified;;;
